Gene,C,Z,Pval,FDR
Ptms,0.07359089442998827,13.773464,1.840643075067378e-43,1.5485410218501636e-42
Frmd4b,0.0525696212936467,13.694108,5.505207591030957e-43,4.6065196491437416e-42
Mpeg1,0.17373177623781502,13.693457,5.554792822933075e-43,4.6230211236023656e-42
Saa3,0.2923401589141295,13.681012,6.5922295214592195e-43,5.4570969514539426e-42
H2-Aa,0.21646694955266732,13.502131,7.595825556530067e-42,6.2544350859088e-41
Tbx4,0.014597027015619445,13.497971,8.037160531276138e-42,6.582817197045218e-41
Pygl,0.1120427614523964,13.4761,1.0811926474052736e-41,8.808874832544018e-41
Pde4b,0.04736870601253346,13.3957615,3.2008035018856945e-41,2.5941590685440076e-40
Slc18a2,0.07431740962237444,13.36071,5.129040372037961e-41,4.135288799955607e-40
Lsp1,0.06538873581390447,13.348076,6.07740282134046e-41,4.874517910588099e-40
Irf8,0.12452878466139858,13.236461,2.7017936085140043e-40,2.1558641783400405e-39
Cd83,0.05322581840136552,13.187326,5.19008408151209e-40,4.1201282862465204e-39
Ms4a6b,0.12764859278167134,13.112306,1.3997803553035745e-39,1.1055408112295579e-38
Zfp36,0.06408262729710094,12.799087,8.294550673387067e-38,6.517748447920394e-37
Pdxk,0.0688773892123831,12.76476,1.2897219807512405e-37,1.0083280940418788e-36
Ptp4a3,0.06716453788782349,12.672894,4.17868638694537e-37,3.250556043714287e-36
Anxa1,0.1268748575398164,12.448286,7.14402720413591e-36,5.529477056001194e-35
Olfml2b,0.21198231883598068,12.256395,7.762689522375019e-35,5.978429542605238e-34
Csrp3,0.06298296246759628,12.250838,8.313416069405557e-35,6.37087528487119e-34
Ctr9,0.07104359399134812,12.236466,9.92437117848178e-35,7.567944130192018e-34
Snhg4,0.058974351412669705,12.227546,1.1076558216700968e-34,8.40515299973191e-34
Wfdc17,0.1428618849845463,12.204676,1.4673777672057921e-34,1.1080491627485689e-33
Prnp,0.04965910122075774,12.191268,1.7299779876374937e-34,1.3000028761470098e-33
S100a10,0.08540081706793773,12.076165,7.057526327734991e-34,5.277802297262689e-33
S100a8,0.44285455746764274,12.038761,1.1113421988714836e-33,8.270950595447387e-33
F11r,0.05995669352369562,12.018096,1.4273692136866557e-33,1.0572093506157622e-32
F10,0.1842497230224398,11.918935,4.7153264083724004e-33,3.4758691810287985e-32
Dnmt3b,0.056763046452958064,11.879078,7.601758880090304e-33,5.57702499828426e-32
I730030J21Rik,0.05511666416278154,11.829653,1.3713697855108667e-32,1.0013586924390668e-31
Kit,0.07037805754567147,11.795507,2.0585573083224028e-32,1.4960782691469858e-31
Socs3,0.07198948586822679,11.690988,7.086443823734523e-32,5.126081793991142e-31
Clec4e,0.06912674357249736,11.665248,9.592172772969193e-32,6.906364396537818e-31
Ly6d,0.059683177810412845,11.401141,2.0633695526531777e-30,1.4787481794014442e-29
Ccl3,0.07557237334432795,11.363686,3.1705869174379676e-30,2.261782741103214e-29
Gmpr,0.05262532335239643,11.211707,1.786180378091609e-29,1.2683519382045003e-28
Cd276,0.024883411689879176,11.193325,2.198160023863714e-29,1.5537679072790088e-28
Ccr9,0.03920266553663232,11.184961,2.415580318199067e-29,1.6996901511691618e-28
Rbpms,0.05134204418801088,11.13287,4.339769936431176e-29,3.0352232856751158e-28
Ifitm6,0.16038850669063667,11.132602,4.3528395957356315e-29,3.0352232856751158e-28
Il1rl1,0.08550715069941739,11.086842,7.266434557634783e-29,5.044143809515087e-28
Mn1,0.04254655144956511,11.079766,7.86413011735951e-29,5.434675634675233e-28
Itgam,0.098993074631353,11.071606,8.614280292053711e-29,5.926624840932953e-28
Tmem98,0.05773406220680894,11.041443,1.2056480645816816e-28,8.258155769789572e-28
Cd28,0.05215752396540301,10.967705,2.7320928493029253e-28,1.8631188241061358e-27
