Gene,C,Z,Pval,FDR
Fam84b,0.04178842003770497,8.231926,9.2113554830539e-17,4.866613750091276e-16
Tns1,0.03213716052985387,8.213043,1.0782594704932641e-16,5.677366191576778e-16
Msi2,0.040447970094193916,8.193899,1.2644848740956022e-16,6.635330796949126e-16
Parp9,0.03987953601474665,8.160345,1.6703439695939685e-16,8.735447516660349e-16
Tnfrsf9,0.03509060316888927,8.096528,2.827497060275692e-16,1.4737257405073302e-15
Sepw1,0.0395578092542908,7.9993854,6.252090480171679e-16,3.247730222585825e-15
Adpgk,0.04206653750748534,7.9989333,6.275082965515948e-16,3.248772050374143e-15
Pcmtd2,0.03672475457907328,7.9857945,6.981003071822335e-16,3.602197585060325e-15
Pdcd1lg2,0.027031214520633392,7.977286,7.479305499640044e-16,3.846499971243451e-15
Raph1,0.03597242211419823,7.973393,7.718815967714031e-16,3.956532158285205e-15
Slc25a53,0.024829073376849517,7.9572635,8.794296105116288e-16,4.4929275150891135e-15
1810033B17Rik,0.1366930463819046,7.863528,1.8673174598527278e-15,9.508577065302705e-15
Stxbp6,0.03172672258011908,7.772198,3.856781298987877e-15,1.9574745740436833e-14
Ccl6,0.10840289781466221,7.761383,4.200408023541775e-15,2.12491229426231e-14
Lat2,0.043057388127002466,7.731531,5.3130336573895185e-15,2.679015016820513e-14
Lrg1,0.07325327543829811,7.7005186,6.7757551345281385e-15,3.403792020541514e-14
Ttc39b,0.03775634333152783,7.7001677,6.794391048755347e-15,3.403792020541514e-14
Efna1,0.015506582333453922,7.6058936,1.4147098774432117e-14,7.064422226716424e-14
Bst1,0.12234515374515166,7.604722,1.4275845675922388e-14,7.105790709430179e-14
Gbp7,0.04168179358240159,7.5063043,3.0409982359918574e-14,1.5088029709344215e-13
BC017612,0.04081280111132422,7.4422174,4.9504570886240793e-14,2.4483410776965097e-13
Map3k8,0.029426419739362324,7.4362116,5.1806915443249844e-14,2.554047933316903e-13
Ffar2,0.03477272646779375,7.4181404,5.938807303361749e-14,2.918499589080631e-13
Hist1h1c,0.062450403831602934,7.378365,8.01225562312806e-14,3.924991045760202e-13
Neurl3,0.04155904298856121,7.372208,8.391237323204265e-14,4.097676774864417e-13
Clec10a,0.027335841250245834,7.345687,1.0235252063623914e-13,4.982443457386735e-13
Clec4a3,0.13389189805278906,7.330816,1.1437795783904997e-13,5.550378643725686e-13
Tfr2,0.034830908048333435,7.314032,1.296216070713997e-13,6.27044524207896e-13
Nt5e,0.058726734057526146,7.3049073,1.3872895869379355e-13,6.690106793083876e-13
P2ry14,0.034090164690188024,7.2756987,1.7231605539983515e-13,8.284014091892696e-13
AB124611,0.07856190916248096,7.269893,1.79885954034814e-13,8.621159654671581e-13
Tlr2,0.09033473403937836,7.24531,2.1572588176056527e-13,1.0306903239671452e-12
Fam105a,0.049253326513893414,7.2337403,2.3493490109605757e-13,1.119013005835991e-12
Cd68,0.06341167318925492,7.20136,2.9807409340694547e-13,1.4153947748280725e-12
Calcoco1,0.03230616127885786,7.1785846,3.521840636370283e-13,1.6672199709789598e-12
Ctxn1,0.024124248429223113,7.1749883,3.615669298832441e-13,1.7064195349367741e-12
Fam43a,0.03893458506083583,7.1588125,4.068944326710619e-13,1.91450632758299e-12
Cd200r4,0.033032447325377745,7.086422,6.881187922782691e-13,3.227902698323517e-12
Epha2,0.029861530381363993,7.0858164,6.911349312298077e-13,3.232256415540007e-12
Gm3925,0.010028578769790361,7.079676,7.22458631676267e-13,3.368572174201389e-12
Jun,0.05298895517044174,6.98278,1.4469772776766204e-12,6.726488966496722e-12
Rgs18,0.04081430117747692,6.9601417,1.6996537567865753e-12,7.87743717217251e-12
