"","Monocyte","Neutrophil","Undifferentiated","Other","Monocyte_proportion","Neutrophil_proportion","Undifferentiated_proportion","Other_proportion","lineage_size","entropy"
"Lineage_96",3,0,2,0,0.6,0,0.4,0,5,0.721928094887362
"Lineage_961",20,0,3,0,0.869565217391304,0,0.130434782608696,0,23,0.347816913571063
"Lineage_962",0,0,1,0,0,0,1,0,1,1
"Lineage_963",0,0,4,2,0,0,0.666666666666667,0.333333333333333,6,NA
"Lineage_965",0,10,0,0,0,1,0,0,10,0
"Lineage_966",8,1,3,0,0.666666666666667,0.0833333333333333,0.25,0,12,0.738284866143451
"Lineage_969",5,0,2,0,0.714285714285714,0,0.285714285714286,0,7,0.591672778582327
"Lineage_971",18,0,9,2,0.620689655172414,0,0.310344827586207,0.0689655172413793,29,NA
"Lineage_974",0,0,4,0,0,0,1,0,4,1
"Lineage_978",0,0,7,0,0,0,1,0,7,1
"Lineage_979",2,4,3,0,0.222222222222222,0.444444444444444,0.333333333333333,0,9,0.964078764808229
"Lineage_98",0,1,2,0,0,0.333333333333333,0.666666666666667,0,3,0.91829583405449
"Lineage_980",0,0,1,1,0,0,0.5,0.5,2,NA
"Lineage_982",0,1,0,26,0,0.037037037037037,0,0.962962962962963,27,NA
"Lineage_984",0,0,5,0,0,0,1,0,5,1
"Lineage_987",0,0,0,6,0,0,0,1,6,NA
"Lineage_991",0,0,6,0,0,0,1,0,6,1
"Lineage_992",0,0,4,0,0,0,1,0,4,1
"Lineage_995",12,0,1,0,0.923076923076923,0,0.0769230769230769,0,13,0.235193381819241
"Lineage_996",6,13,2,0,0.285714285714286,0.619047619047619,0.0952380952380952,0,21,0.91829583405449
"Lineage_997",0,0,7,0,0,0,1,0,7,1
"Lineage_998",0,0,23,6,0,0,0.793103448275862,0.206896551724138,29,NA
