,pvalue,R2
Olfr358,0,0.302492368846638
Mogat2,0,0.301143095573309
Map10,0,0.300966686496041
Stx3,0,0.30096045718863
Csf1r,0,0.300946924815562
Egr3,0,0.300719195051097
AW551984,0,0.300147224899262
Ngb,0,0.299907114895834
Cyp26c1,0,0.299496656284241
Gm20661,0,0.29949665628424
Gm11924,0,0.299496656284239
Oasl2,0,0.299469703964191
Grhl3,0,0.299439136561414
Gpm6a,0,0.299301042438933
Gimap1,0,0.298970206609786
Vmn1r31,0,0.29873280153626
Rab15,0,0.298687534103844
Fbp2,0,0.298667073255889
B9d1,0,0.298148410137475
Ltb4r1,0,0.298082221529901
Cct6b,0,0.297528024950082
Pld3,0,0.296876754552132
Tspear,0,0.296418524468157
Scn4a,0,0.296306708499084
4930552N02Rik,0,0.296267587115838
Gm44110,0,0.296041841124671
9530027J09Rik,0,0.295883549889465
Agl,0,0.295653669356799
Zfp354a,0,0.295303865329846
1700008K24Rik,0,0.295303865329846
Nefm,0,0.295264126775235
Zdhhc8,0,0.295214414391465
Pfn4,0,0.294990527930008
Gm12185,0,0.294790038077646
Mrgprd,0,0.294407953308848
4930573I07Rik,0,0.294375846231654
6430548M08Rik,0,0.293892915522423
Ldlrad4,0,0.293792957300723
Gm15628,0,0.293792957300722
Gm10447,0,0.293645961161725
Map3k8,0,0.293603201202874
Creb3l2,0,0.293067229185588
Gm13562,0,0.292943985014997
Olfr165,0,0.292834961004225
Rwdd3,0,0.292517164283388
Serpina3f,0,0.291861763625286
Slc10a5,0,0.291678395216191
1500002F19Rik,0,0.29167839521619
Evl,0,0.291230645557867
Tef,0,0.29122900648708
Gm26672,0,0.290228626490306
Hgfac,0,0.290213652195911
Gm13187,0,0.290190693556015
Abca1,0,0.290183285639985
Gm8098,0,0.290164264544714
Serpinc1,0,0.289649002613932
Fchsd2,0,0.289432087493141
6030419C18Rik,0,0.28941242636952
Rag1,0,0.28911897796545
Tlr13,0,0.289083163010188
Cpb1,0,0.289023865150003
Kcnmb4os2,0,0.288856188008628
Mmp19,0,0.288826718280279
Tlr2,0,0.288724167673983
F11r,0,0.288251139386914
Creb3l1,0,0.287942157574786
Gabbr1,0,0.287907329554124
Gap43,0,0.287867005502625
Txk,0,0.287823005363376
Muc20,0,0.287780962612959
Fhitos,0,0.28757563088405
D630036H23Rik,0,0.287259925123215
Itga10,0,0.287222197120925
Gm16508,0,0.286958671161234
Itk,0,0.286957211329621
Amdhd1,0,0.286887205991632
Lhfpl1,0,0.286885201723871
Chit1,0,0.286817543862239
Gm42921,0,0.286631397827006
Fam171b,0,0.286558767473268
2410004I01Rik,0,0.286435355939876
1700112J16Rik,0,0.286431279253888
Pth1r,0,0.286338173987428
Mgll,0,0.286199521937444
Fam135a,0,0.286101361622243
Noxo1,0,0.285724703404296
Gsg1l,0,0.285279911019926
Cd300lb,0,0.285131121580961
Gm15856,0,0.285025575409532
C130046K22Rik,0,0.284919554796554
Ighv1-23,0,0.284857930406715
Gm38155,0,0.284842483697867
Gm6225,0,0.284794116811403
F13a1,0,0.284612706934535
Susd2,0,0.284608225013652
Tmtc2,0,0.284287892458698
Ephb2,0,0.284073205553516
Gzmn,0,0.283538548316801
Cfap46,0,0.283405911500469
Gpx2,0,0.283218414485425
Myh2,0,0.28277350595706
Bcl6,0,0.282362952922391
1600010M07Rik,0,0.282135670939023
Grina,0,0.282125221477401
Cma1,0,0.282054040119358
Gm17324,0,0.281457592590445
2810417H13Rik,0,0.281352317305428
