,gene,score_001_15,score_005_50,rank_1,rank_2
882,Gclc,0.0038427562,0.0060475958,251.0,161.0
883,Gfod2,0.002113962,0.0032472503,867.0,792.0
884,Slc27a2,0.00043703706,0.00039974524,1609.0,1717.0
885,C2cd4c,0.00023506556,0.00041502994,1783.0,1706.0
886,Casz1,0.00051830796,0.00079483085,1556.0,1502.0
887,Ccnd1,0.0038330213,0.0053588594,255.0,288.0
888,Spint2,0.0036845775,0.005837911,312.0,206.0
889,Foxj1,0.0006922547,0.0007679362,1439.0,1516.0
890,Tns1,0.0047756108,0.0063614612,75.0,121.0
891,Ephx3,0.0006990725,0.000866267,1435.0,1476.0
892,Hmga2,0.0035568941,0.0058369525,367.0,207.0
893,Itgae,0.00019226957,0.00024296604,1829.0,1842.0
894,Steap1,0.002667789,0.0039762314,667.0,629.0
895,Ccne1,0.0033681176,0.0041204602,421.0,596.0
896,Lama4,0.0030942473,0.004407467,529.0,528.0
897,Chd5,0.00021053696,0.0003530185,1809.0,1749.0
898,Espn,0.0023845623,0.0036153146,768.0,708.0
899,Plxnc1,0.00060974836,0.00092904887,1495.0,1444.0
900,Lamb3,7.710748e-05,0.0001600687,1935.0,1914.0
901,Sytl2,0.0027371102,0.0033334086,647.0,769.0
902,Frmd4b,0.003394607,0.004143217,412.0,591.0
903,Htra1,0.0033641795,0.004847065,423.0,405.0
904,Nrarp,0.00038721456,0.0003489702,1650.0,1754.0
905,Ptprd,0.0023596056,0.0035027352,779.0,732.0
906,AA986860,0.0010880129,0.0017554916,1241.0,1149.0
907,Cd9,0.004808562,0.008997281,72.0,27.0
908,Arl4d,0.0013513285,0.0022017672,1119.0,1040.0
909,Psg17,7.825897e-05,0.0001475456,1934.0,1920.0
910,Aebp1,0.0048571606,0.0057969163,67.0,214.0
911,Fosb,0.0032812154,0.0053089694,449.0,301.0
912,Gm12185,0.00054189475,0.0006775609,1538.0,1559.0
913,Duoxa1,0.00015852427,0.0002570911,1866.0,1832.0
914,Ank,0.0045213397,0.008191825,96.0,38.0
915,Ppp2r2b,0.0017810074,0.00293414,969.0,862.0
916,Lgals1,0.0037974333,0.005062676,265.0,351.0
917,Itga8,0.0035936814,0.005118118,353.0,339.0
918,Cd24a,0.0035108638,0.005880251,377.0,195.0
919,Fgf7,0.004829648,0.0077642025,70.0,47.0
920,Pkdrej,0.00020933506,0.00024312663,1810.0,1841.0
921,Oas2,0.00039267354,0.0006559848,1644.0,1572.0
922,Rasl12,0.0004641778,0.0007983806,1596.0,1500.0
923,Col4a1,0.004080409,0.004763473,180.0,436.0
924,Shisa2,0.0023442172,0.003433372,785.0,746.0
925,Apon,0.00016834946,0.00032077782,1855.0,1780.0
926,Col27a1,0.0021966896,0.0028130815,835.0,895.0
927,Cyba,0.004142796,0.006086763,166.0,155.0
928,Kcna6,0.0001914311,0.00024148199,1832.0,1843.0
929,Fjx1,0.0028547568,0.003786091,607.0,670.0
930,1700066B19Rik,0.000328273,0.0003156414,1693.0,1787.0
931,Slc16a12,0.0005063104,0.00051421695,1562.0,1647.0
932,Fbln5,0.0039056637,0.0058839964,234.0,193.0
933,Ifitm3,0.003611322,0.0045102416,345.0,502.0
934,Olfr912,0.00021840697,0.00048314538,1800.0,1670.0
935,Gstm1,0.0037477019,0.0050255386,292.0,362.0
936,Vipr2,0.00049549266,0.00070806325,1570.0,1542.0
937,Thsd4,0.0011685924,0.0024726298,1207.0,973.0
938,Cyp2d26,0.0002691073,0.00029378364,1753.0,1803.0
939,Lix1,0.00038704465,0.00035367894,1651.0,1748.0
940,Necab1,0.00015618806,0.00020445815,1868.0,1876.0
941,Zmynd10,0.00014457645,0.00016526744,1880.0,1911.0
942,Neurl1b,0.0003723104,0.00046305242,1660.0,1684.0
943,Nr2f1,0.002061315,0.0026000247,882.0,945.0
944,Tjp3,0.00017846035,0.00021696197,1847.0,1867.0
945,Kcne3,8.280632e-05,0.00015357976,1933.0,1917.0
946,Rtp4,0.0007458864,0.0011579196,1400.0,1348.0
947,Ptgds,0.00040441568,0.0004555731,1635.0,1689.0
948,Clec4a1,0.00016109206,0.00025422394,1863.0,1835.0
949,Cubn,0.0015403632,0.0018308976,1050.0,1132.0
950,Fam57b,0.00017944213,0.00019545473,1844.0,1885.0
951,Liph,0.0005184708,0.0008815465,1555.0,1465.0
952,Slc45a3,0.00063936936,0.0007150069,1468.0,1540.0
953,F7,0.00019508495,0.00020588901,1825.0,1872.0
954,Dqx1,0.0009789512,0.0012607151,1297.0,1312.0
955,Il6st,0.0038720188,0.0051682186,246.0,329.0
956,Hook1,0.0012792308,0.0017201175,1148.0,1155.0
957,Lrrc7,0.001142872,0.0015077156,1215.0,1233.0
958,Npr1,0.00041343924,0.0004978196,1627.0,1658.0
959,Clic6,0.0010053234,0.0013365378,1285.0,1289.0
960,Zbtb20,0.0035645484,0.00510464,364.0,344.0
961,Acss1,0.00025872997,0.00030899805,1760.0,1794.0
962,Large2,0.00039499174,0.00042893575,1642.0,1701.0
963,Acnat1,0.0003235434,0.0005571617,1696.0,1619.0
964,Apoc4,0.00031426558,0.0003780695,1709.0,1728.0
965,Depdc1b,0.0005438119,0.0009642089,1537.0,1421.0
966,Itgb6,0.00021931602,0.0002730865,1797.0,1819.0
967,Synpo2l,0.00074696966,0.0017281594,1399.0,1154.0
968,Axdnd1,0.0004921503,0.0004914772,1574.0,1662.0
969,Hacd2,0.004090551,0.0059831413,177.0,174.0
970,1700007K13Rik,0.0029045728,0.004729825,586.0,446.0
971,Serpinb8,0.0019570675,0.003148529,911.0,815.0
972,Sytl1,0.0009303832,0.001122749,1321.0,1364.0
973,Tpbgl,0.0005862458,0.00054667494,1503.0,1627.0
974,Ppp1r36,0.00041753578,0.00046623443,1625.0,1683.0
975,Rab25,3.9591967e-05,9.517815e-05,1947.0,1940.0
976,Fen1,0.0023596361,0.002410097,778.0,988.0
977,Fry,0.0022186458,0.002953881,827.0,854.0
978,H2-Q7,0.00025643184,0.00033543952,1763.0,1765.0
979,Lrrd1,0.00041851503,0.0005223824,1623.0,1639.0
980,Rorc,0.00012972645,0.00012774683,1898.0,1931.0
981,Exph5,0.0011734036,0.0014940989,1206.0,1239.0
982,Cxcr4,0.00046793322,0.00048351559,1594.0,1669.0
983,Rnf128,0.0027385002,0.0038523313,646.0,657.0
984,Pde5a,0.0023090623,0.0030230968,796.0,840.0
985,Sparc,0.0031617174,0.0047197146,501.0,450.0
986,Ncam1,0.0039444948,0.0062208534,219.0,137.0
987,Mfap2,0.0036446867,0.004190905,332.0,579.0
988,Dio1,0.00024228927,0.00027048978,1772.0,1823.0
989,Lrguk,0.00036966192,0.00044290797,1664.0,1694.0
990,Sox9,0.002468216,0.0035740691,743.0,718.0
991,Agap2,0.0002869716,0.00031145825,1730.0,1790.0
992,Crisp2,0.00022946848,0.00044416476,1787.0,1692.0
993,Maf,0.0027096318,0.0036217286,655.0,707.0
994,Pde6a,0.00036526608,0.0002968059,1667.0,1801.0
995,Tmprss2,0.0005596368,0.00049088453,1524.0,1665.0
996,Gna14,0.0010464347,0.0010770216,1265.0,1378.0
997,Arhgap19,0.0016827679,0.0024589885,987.0,978.0
998,Fads6,0.0002900517,0.0002820799,1727.0,1810.0
999,Efhd1,0.0005459759,0.00090136623,1534.0,1455.0
